timestamp,device_id,temperature,voltage,cno,pseudorange_res,timing_drift,hours_since_maint,solar_activity,integrity_risk,rul
0.000,0,42.249,5.071,40.973,1.193,6.089,0.000,41.208,1,960.622
1.000,0,46.165,5.219,39.890,1.306,5.126,0.000,10.495,0,1044.820
2.000,0,45.712,5.170,40.909,1.825,6.674,0.000,57.622,0,903.635
3.000,0,43.159,4.821,46.771,2.102,2.240,0.000,62.875,0,911.616
4.000,0,40.464,5.118,46.611,2.354,6.201,0.000,77.282,0,1110.489
5.000,0,40.235,4.719,47.531,1.622,6.227,0.000,30.544,0,1262.549
6.000,0,48.311,4.975,48.958,1.951,3.154,0.000,16.679,0,1192.093
7.000,0,46.634,5.070,45.540,1.687,5.743,0.000,26.519,0,1078.787
8.000,0,53.971,5.045,46.243,1.332,6.577,0.000,47.789,0,1149.339
9.000,0,41.948,4.778,43.957,1.087,6.609,0.000,39.156,1,1026.235
10.000,0,38.253,5.019,43.613,1.547,4.800,0.000,43.938,0,1008.526
11.000,0,41.686,4.873,44.764,0.817,7.383,0.000,58.741,0,879.428
12.000,0,32.506,5.324,47.676,1.355,6.064,0.000,15.660,0,1059.518
13.000,0,47.562,5.004,43.102,1.421,6.864,0.000,58.707,0,1183.022
14.000,0,47.140,5.072,50.513,1.138,4.597,0.000,61.465,0,1013.231
15.000,0,36.447,5.150,47.860,1.217,5.109,0.000,23.209,0,1220.794
16.000,0,48.265,4.723,43.345,1.842,1.221,0.000,75.809,0,939.923
17.000,0,38.350,5.201,47.382,3.812,3.565,0.000,60.466,0,1102.253
18.000,0,44.943,4.979,47.909,1.148,5.538,0.000,34.505,0,853.578
19.000,0,44.942,5.091,47.287,2.701,6.052,0.000,62.340,1,1086.133
20.000,0,40.252,4.983,42.891,2.150,4.267,0.000,36.088,0,933.941
21.000,0,47.249,4.900,42.790,1.258,5.305,0.000,27.934,1,984.324
22.000,0,37.197,4.820,46.111,0.907,6.087,0.000,20.853,0,774.753
23.000,0,42.294,4.993,49.883,1.508,5.397,0.000,68.942,0,1013.267
24.000,0,40.712,5.267,41.840,1.115,5.836,0.000,14.074,0,1142.285
25.000,0,41.062,4.822,47.448,1.375,4.841,0.000,18.412,0,740.931
26.000,0,43.378,5.478,46.548,1.704,6.477,0.000,57.877,0,1209.277
27.000,0,46.135,5.067,44.004,1.649,4.750,0.000,67.430,1,893.693
28.000,0,37.281,4.827,45.593,2.500,4.006,0.000,57.713,0,1252.150
29.000,0,44.550,5.008,49.679,1.315,5.021,0.000,39.643,0,1000.441
30.000,0,45.902,5.115,47.222,3.044,1.890,0.000,61.794,0,1043.312
31.000,0,46.960,4.970,46.133,1.598,3.417,0.000,44.512,0,1121.798
32.000,0,43.287,5.049,47.838,1.292,5.663,0.000,59.408,0,1089.835
33.000,0,42.473,4.763,44.811,1.257,5.862,0.000,50.691,0,1174.129
34.000,0,44.181,5.222,41.626,1.224,7.751,0.000,27.411,0,762.364
35.000,0,48.238,5.126,43.463,0.850,1.741,0.000,26.625,0,1250.409
36.000,0,45.228,4.960,47.677,1.874,4.537,0.000,74.725,0,933.333
37.000,0,40.514,5.055,43.367,1.046,4.112,0.000,77.109,0,1004.125
38.000,0,38.238,4.880,49.863,2.307,4.626,0.000,28.196,1,1016.667
39.000,0,44.386,5.117,42.453,1.007,7.697,0.000,15.792,0,1009.486
40.000,0,41.921,5.039,46.067,1.304,8.058,0.000,14.446,0,1109.785
41.000,0,52.981,4.903,43.387,1.759,6.102,0.000,26.876,0,1036.715
42.000,0,44.992,5.191,46.530,2.168,1.692,0.000,31.544,0,946.537
43.000,0,50.748,5.035,47.542,2.881,5.984,0.000,78.632,0,987.058
44.000,0,49.330,5.033,48.502,0.976,5.802,0.000,58.835,0,1001.399
45.000,0,46.878,5.073,49.489,1.648,6.453,0.000,42.208,0,936.181
46.000,0,45.219,5.011,42.247,2.140,5.691,0.000,25.669,0,999.104
47.000,0,48.930,4.944,50.347,1.038,3.778,0.000,32.511,0,1078.050
48.000,0,45.908,5.004,45.904,2.441,5.241,0.000,74.683,1,1090.315
49.000,0,47.001,5.071,42.488,2.506,6.063,0.000,12.133,1,996.980
50.000,0,50.948,5.011,39.958,1.241,5.178,0.000,26.325,0,1395.926
51.000,0,47.008,5.222,45.953,1.693,5.611,0.000,36.514,0,793.701
52.000,0,41.915,5.178,45.811,1.764,5.617,0.000,16.152,0,1106.512
53.000,0,47.832,4.738,46.965,1.674,8.403,0.000,68.701,0,1078.093
54.000,0,45.065,4.970,50.520,2.807,3.535,0.000,51.572,0,1086.702
55.000,0,56.949,4.968,47.050,1.010,6.640,0.000,69.551,0,998.619
56.000,0,47.660,5.077,47.184,1.111,6.870,0.000,23.048,0,810.308
57.000,0,53.862,5.038,40.664,1.868,6.673,0.000,47.785,1,714.861
58.000,0,46.210,4.720,49.569,0.906,6.887,0.000,61.138,0,1186.684
59.000,0,43.239,4.992,39.680,1.553,9.033,0.000,62.824,0,924.554
60.000,0,39.907,5.212,49.545,1.397,7.423,0.000,10.854,0,1087.726
61.000,0,39.111,4.748,47.438,1.820,4.339,0.000,53.047,0,1064.092
62.000,0,51.025,4.906,44.433,1.356,5.051,0.000,15.412,0,998.429
63.000,0,38.825,5.081,46.785,1.519,4.285,0.000,36.551,0,1099.116
64.000,0,37.221,5.024,46.411,2.422,7.218,0.000,12.299,0,956.868
65.000,0,41.638,5.067,45.495,2.025,4.795,0.000,42.129,0,924.416
66.000,0,38.186,4.915,47.923,1.293,3.189,0.000,42.776,0,1165.541
67.000,0,57.149,4.915,43.777,1.123,4.425,0.000,63.575,0,1158.045
68.000,0,52.075,4.961,45.248,2.315,3.107,0.000,48.621,0,1210.752
69.000,0,45.716,5.129,40.939,1.808,6.019,0.000,79.211,0,951.204
70.000,0,46.652,5.079,44.014,1.999,7.453,0.000,53.733,0,957.494
71.000,0,43.165,5.025,44.987,2.256,8.230,0.000,78.976,0,1070.555
72.000,0,38.208,4.850,47.894,2.067,5.861,0.000,19.259,0,1223.614
73.000,0,41.202,4.990,44.063,1.565,7.050,0.000,60.414,0,918.718
74.000,0,44.506,5.178,40.475,1.912,5.906,0.000,38.307,1,992.219
75.000,0,43.875,5.035,46.400,1.043,5.613,0.000,52.728,0,887.133
76.000,0,38.840,5.035,43.888,3.226,3.788,0.000,76.867,0,818.705
77.000,0,48.840,4.880,44.307,1.590,6.688,0.000,15.444,0,1205.321
78.000,0,48.458,5.121,45.732,1.668,5.270,0.000,54.606,0,1071.508
79.000,0,45.517,4.707,44.570,1.091,7.733,0.000,18.437,0,968.684
80.000,0,44.666,5.329,42.901,3.682,5.819,0.000,55.512,1,1114.903
81.000,0,52.221,5.026,38.410,1.673,5.375,0.000,56.316,0,1200.779
82.000,0,42.812,5.390,44.350,1.611,8.312,0.000,29.018,1,1046.071
83.000,0,35.693,5.068,44.391,1.832,4.735,0.000,51.238,0,1170.479
84.000,0,49.158,4.978,44.671,1.453,6.413,0.000,68.648,0,1125.828
85.000,0,45.483,5.095,45.404,0.958,5.582,0.000,28.216,0,1190.811
86.000,0,33.772,4.973,44.795,1.146,5.903,0.000,13.106,0,1082.847
87.000,0,43.823,5.083,45.064,1.991,5.945,0.000,17.663,0,1177.220
88.000,0,50.519,5.024,44.278,1.233,3.967,0.000,70.771,0,935.823
89.000,0,46.589,5.029,43.577,1.606,8.073,0.000,77.292,0,1098.066
90.000,0,48.263,4.958,43.943,1.640,5.655,0.000,10.635,0,996.513
91.000,0,39.073,5.116,46.788,1.950,4.684,0.000,22.163,1,1039.164
92.000,0,42.067,5.166,43.773,2.103,4.878,0.000,36.853,1,1124.482
93.000,0,44.435,5.013,46.043,1.557,5.006,0.000,67.814,0,991.006
94.000,0,47.154,4.948,47.227,1.842,6.266,0.000,31.837,0,1000.407
95.000,0,39.184,4.818,44.463,2.172,5.182,0.000,24.259,0,1016.496
96.000,0,47.569,5.246,43.413,1.452,3.750,0.000,27.328,0,1185.588
97.000,0,46.482,4.982,47.874,1.733,7.152,0.000,57.632,1,1168.702
98.000,0,45.814,4.998,44.980,1.774,5.038,0.000,24.724,0,1202.469
99.000,0,49.597,5.015,45.338,1.877,7.961,0.000,76.608,0,1269.153
100.000,0,51.326,4.950,48.179,1.464,4.880,0.000,56.257,1,1036.384
101.000,0,53.428,5.260,43.904,3.030,6.609,0.000,43.550,0,1039.205
102.000,0,47.530,4.873,41.414,1.376,5.250,0.000,38.228,0,1091.563
103.000,0,50.656,5.208,47.145,3.955,5.143,0.000,63.741,1,946.932
104.000,0,52.549,5.090,41.559,2.561,7.629,0.000,79.449,0,1015.539
105.000,0,42.618,5.249,42.981,1.157,4.422,0.000,36.099,0,986.074
106.000,0,52.711,4.897,47.346,1.313,5.790,0.000,55.649,0,1022.335
107.000,0,37.969,5.065,49.594,1.611,5.522,0.000,40.942,0,864.023
108.000,0,38.517,4.754,43.535,2.815,6.031,0.000,47.346,0,1152.858
109.000,0,43.392,5.022,48.981,1.799,5.051,0.000,25.729,0,666.331
110.000,0,45.339,5.022,42.848,1.535,6.675,0.000,33.986,1,912.489
111.000,0,49.026,4.992,45.127,1.200,5.174,0.000,11.226,0,1075.255
112.000,0,45.903,5.126,40.622,1.967,5.278,0.000,34.400,0,1063.729
113.000,0,46.512,5.135,43.845,1.987,7.252,0.000,71.452,0,831.979
114.000,0,51.691,4.697,39.254,2.810,5.848,0.000,48.395,1,951.225
115.000,0,51.346,5.471,40.543,1.216,2.163,0.000,76.603,0,921.034
116.000,0,49.275,5.198,41.641,2.579,5.645,0.000,40.160,1,785.037
117.000,0,46.952,5.307,42.524,1.214,4.717,0.000,75.072,0,1233.602
118.000,0,45.457,4.919,42.527,1.204,5.103,0.000,30.669,0,1202.050
119.000,0,46.237,5.199,46.421,1.311,6.273,0.000,55.262,1,1225.049
120.000,0,50.349,5.065,43.948,2.188,5.129,0.000,66.667,0,940.091
121.000,0,57.340,4.918,41.232,1.816,4.982,0.000,26.117,1,1011.936
122.000,0,48.335,4.907,45.511,2.270,6.827,0.000,41.205,0,985.780
123.000,0,49.048,4.755,41.968,3.149,6.548,0.000,35.687,1,1108.564
124.000,0,38.273,5.253,40.763,2.402,5.792,0.000,26.158,0,1012.610
125.000,0,40.875,5.017,40.610,2.897,2.309,0.000,62.839,1,930.260
126.000,0,49.327,5.116,45.551,1.414,6.048,0.000,16.505,1,1394.260
127.000,0,41.590,4.770,43.099,1.894,6.491,0.000,26.734,0,914.224
128.000,0,35.030,4.623,45.397,3.086,4.765,0.000,47.781,1,1028.998
129.000,0,42.269,5.107,46.733,2.685,5.048,0.000,50.261,0,1153.131
130.000,0,47.551,4.991,45.045,2.060,6.914,0.000,45.428,1,953.156
131.000,0,45.245,4.803,44.230,2.573,6.796,0.000,49.511,1,1193.882
132.000,0,38.846,4.885,41.230,1.722,4.731,0.000,58.413,1,915.549
133.000,0,49.753,5.132,45.355,3.273,3.857,0.000,38.336,0,970.331
134.000,0,43.837,5.058,40.560,2.135,6.459,0.000,57.668,1,1181.027
135.000,0,38.060,4.998,46.211,2.343,6.502,0.000,28.621,0,1199.889
136.000,0,47.473,5.070,45.181,1.275,7.053,0.000,66.622,0,911.832
137.000,0,32.841,4.774,44.281,1.370,7.032,0.000,72.257,0,1171.963
138.000,0,32.830,5.035,42.817,2.309,7.711,0.000,77.952,0,686.726
139.000,0,44.370,5.004,42.179,1.997,7.291,0.000,72.923,0,1008.671
140.000,0,44.635,4.994,41.636,1.484,4.606,0.000,74.421,0,1046.255
141.000,0,34.172,4.923,43.506,1.126,6.972,0.000,74.982,0,961.371
142.000,0,55.645,5.056,47.108,1.925,6.297,0.000,22.642,0,717.176
143.000,0,46.612,4.821,46.293,1.981,4.569,0.000,33.967,1,1020.795
144.000,0,45.813,4.973,45.764,1.902,5.327,0.000,21.259,1,1105.137
145.000,0,46.694,5.165,41.792,2.622,8.321,0.000,67.058,0,1370.676
146.000,0,46.562,5.116,44.827,4.490,5.434,0.000,62.939,0,771.681
147.000,0,41.613,5.059,43.196,2.322,7.338,0.000,10.132,0,973.418
148.000,0,42.312,5.110,48.239,2.706,4.381,0.000,13.696,0,1058.760
149.000,0,47.766,4.654,42.616,2.458,7.032,0.000,18.566,0,1112.932
150.000,0,47.278,4.801,46.325,2.026,6.409,0.000,58.014,1,987.301
151.000,0,48.590,5.252,42.729,2.454,3.777,0.000,75.073,0,558.467
152.000,0,45.782,4.927,43.490,2.155,5.799,0.000,73.274,1,1130.744
153.000,0,49.432,4.990,42.369,1.643,7.462,0.000,40.022,0,1313.196
154.000,0,50.356,4.977,47.051,1.539,6.699,0.000,61.271,0,1195.754
155.000,0,40.811,4.810,42.622,2.794,6.283,0.000,76.293,0,873.712
156.000,0,50.060,5.036,43.536,2.318,6.496,0.000,52.903,0,873.798
157.000,0,53.163,5.142,38.783,1.208,6.085,0.000,17.836,0,1165.679
158.000,0,46.788,4.925,45.022,2.762,4.563,0.000,76.265,0,1009.328
159.000,0,41.193,4.922,43.774,2.054,5.107,0.000,41.619,1,927.751
160.000,0,51.353,4.858,44.202,2.137,8.930,0.000,54.987,1,729.441
161.000,0,37.172,5.382,46.022,1.751,7.408,0.000,12.337,0,879.213
162.000,0,40.703,4.999,45.031,1.958,5.152,0.000,18.570,0,1086.604
163.000,0,47.419,5.043,40.724,2.272,7.013,0.000,79.165,0,917.156
164.000,0,36.880,4.910,45.150,2.406,8.826,0.000,73.375,0,758.163
